﻿Rank,Company, Headquarters/ U.S. headquarters,State,U.S. sales growth (&#039;22 v &#039;21), 2022 U.S. retail sales (billions) , 2022 worldwide retail sales (billions) ,U.S. % of worldwide sales, 2022 U.S. stores ,U.S. store growth (&#039;22 v &#039;21),Notes,Expand all
1,Walmart,Bentonville, AR,7.80%,$499.65 ,$600.94 ,83%,5,330,0.10%,
2,Amazon.com,Seattle, WA,6.70%,$232.46 ,$343.33 ,68%,558,0.20%,,
3,Costco Wholesale,Issaquah, WA,16.90%,$164.15 ,$217.53 ,75%,574,2.50%,,
4,The Kroger Co.,Cincinnati, OH,7.50%,$147.62 ,$147.62 ,100%,2,856,-0.50%,
5,The Home Depot,Atlanta, GA,4.30%,$145.94 ,$155.42 ,94%,1,994,0.10%,
6,Target,Minneapolis, MN,2.80%,$107.59 ,$107.59 ,100%,1,948,1.10%,
7,CVS Health Corporation,Woonsocket, RI,6.50%,$106.18 ,$106.59 ,100%,9,728,-2.70%,
8,Walgreens Boots Alliance,Deerfield, IL,-2.70%,$103.91 ,$116.10 ,89%,8,785,-0.90%,
9,Lowe&#039;s Companies,Mooresville, NC,1.80%,$89.28 ,$93.61 ,95%,1,738,0.10%,
10,Albertsons Companies,Boise, ID,6.00%,$76.15 ,$76.15 ,100%,2,270,-1.20%,
11,Apple Stores / iTunes,Cupertino, CA,9.00%,$70.64 ,$80.30 ,88%,272,0.00%,,
12,Royal Ahold Delhaize USA,Carlisle, PA,6.70%,$57.21 ,$92.14 ,62%,2,59,0.00%,
13,Publix Super Markets,Lakeland, FL,13.60%,$54.53 ,$54.53 ,100%,1,627,1.80%,
14,Best Buy,Richfield, MN,-10.60%,$42.75 ,$46.19 ,93%,943,-1.50%,,
15,Aldi,Batavia, IL,8.10%,$40.21 ,$124.25 ,32%,2,813,4.30%,Includes Trader Joe’s and Aldi Sued.
16,TJX Companies,Framingham, MA,0.90%,$38.42 ,$48.94 ,79%,3,465,3.60%,
17,Dollar General,Goodlettsville, TN,10.60%,$37.87 ,$37.88 ,100%,19,503,6.10%,
18,H.E. Butt Grocery,San Antonio, TX,12.20%,$34.79 ,$36.80 ,95%,346,0.30%,,
19,7-Eleven,Irving, TX,30.20%,$30.15 ,$86.11 ,35%,12,645,-0.10%,
20,Dollar Tree,Chesapeake, VA,7.50%,$27.91 ,$28.36 ,98%,16,90,1.60%,
21,Ace Hardware,Oak Brook, IL,7.50%,$26.38 ,$27.56 ,96%,4,867,2.40%,
22,Macy&#039;s,New York, NY,-0.10%,$24.25 ,$24.36 ,100%,726,-0.80%,,
23,Verizon Wireless,New York, NY,17.70%,$23.17 ,$23.17 ,100%,6,87,-2.10%,
