,chain_id_fuzzy,name,average_dist
13107,13108,Psychic Readings By Jacqueline,1585.519772
7377,7378,Holy Family Roman Catholic Church,31.87350621
8662,8663,Knights of Columbus,29.74839412
18745,18746,Z Berman Books,28.57144194
2730,2731,Buffalo Wild Wings,27.66431345
15140,15141,St John's R C Church,26.05033719
13188,13189,Qahwah House,25.07454764
69,70,18th Ward Brewing,24.79976887
4703,4704,Dollar Tree,24.66064301
7380,7381,Holy Rosary Church,23.66411946
12594,12595,Petland Discounts,23.10390014
15201,15202,St Rose of Lima Church,22.98212812
12052,12053,Our Lady of Fatima Church,22.65426141
6097,6098,Friendship Baptist Church,22.30534044
5667,5668,Fine Fare Supermarket,22.05282876
8148,8149,Jmart,22.00679432
15394,15395,Stop & Shop,21.97940184
316,317,99 Ranch Market,21.27392138
13987,13988,Sacred Heart Church,20.23205327
8838,8839,LA Fitness,19.65795994
6254,6255,Gateway Center,19.53556318
15188,15189,St Paul the Apostle Church,19.03180753
14039,14040,Saint Peter's University,19.02096818
15146,15147,St Joseph's Church,18.9970794
12059,12060,Our Lady of Mt Carmel Church,18.96169384
9577,9578,Lowe's Home Improvement,18.80524644
17487,17488,Trinity Lutheran Church,18.43073143
11651,11652,NY Puppy Club,18.40267447
12060,12061,Our Lady of Mt Carmel Parish Center,18.38806295
2970,2971,Calvary Baptist Church,18.05086593
12608,12609,PetSmart,17.93206968
13008,13009,Primark,17.82751942
15187,15188,St Patrick's Church,17.2337465
6578,6579,Grace Episcopal Church,17.20271232
6056,6057,Fresh Farm II,17.02170557
12565,12566,Petco,16.97108588
16671,16672,The Market Place,16.84069007
12555,12556,Pet Spa,16.78588862
12053,12054,Our Lady of Grace Church,16.72423463
5877,5878,Foodtown,16.72170755
13564,13565,Retro Fitness,16.66187329
12062,12063,Our Lady of Perpetual Help Church,16.66140393
17471,17472,Tribos Peri Peri,16.66082213
2389,2390,BP Gas,16.61275945
7681,7682,Immaculate Conception Church,16.56080499
5660,5661,Fillup Coffee,16.55533913
17817,17818,US Post Office,16.5163364
6934,6935,Halalbee's,16.50882356
17207,17208,Tick Tock Diner,16.32832962
3965,3966,Convenience Store,15.91325276
11074,11075,Natural Frontier Market,15.86403416
16715,16716,The Munchies,15.81135041
8713,8714,Korean Red Ginseng,15.62808784
15177,15178,St Michael's Rc Church,15.60620948
11620,11621,Nuts.com,15.51928066
8733,8734,Krause's Homemade Candy,15.32640422
885,886,Animal Care Centers of NYC,15.26189581
2046,2047,BK Pilates,15.12313424
3565,3566,Church of the Holy Spirit,14.97385811
15239,15240,St. Joseph's University,14.76968906
14982,14983,Speedway,14.62641478
12309,12310,Party City,14.58416626
372,373,ÇKA KA QËLLU,14.46402584
17506,17507,Tropical Pets,14.27112196
8973,8974,LaoMa Spicy,14.14363074
18553,18554,World Mission Society Church of God,13.87881705
16100,16101,The Bagel Store,13.85618838
5038,5039,Edible Arrangements,13.80110393
6320,6321,German Doner Kebab,13.71959016
13458,13459,Red Ribbon Bakeshop,13.62141919
15734,15735,Szechuan Mountain House,13.59613252
610,611,ALDI,13.37886581
15118,15119,St George's Episcopal Church of Astoria,13.37054166
2391,2392,BP Gas Station,13.17167674
14700,14701,Slim Herbal,12.92475474
1599,1600,Barnes & Noble,12.91894563
13653,13654,Rite Aid,12.86228095
9103,9104,Lee Sims Chocolates,12.85786365
2501,2502,Broadway Gourmet,12.80001216
4116,4117,Cre8sart School,12.79110964
7384,7385,Holy Trinity Lutheran Church,12.63732521
8532,8533,Key Food Supermarket,12.61709788
8528,8529,Key Food,12.56073346
1604,1605,Barnes and Noble,12.53922068
4208,4209,CTown Supermarkets,12.51173046
9316,9317,Lincoln Park,12.29149844
8614,8615,King's Kitchen,12.21709231
4311,4312,Daiso Japan,12.13943927
11137,11138,Neptune Diner II,12.11212994
16235,16236,The Church of Jesus Christ of Latter-day Saints,11.96338368
6877,6878,Habibi Halal Food,11.95795123
7682,7683,Immanuel Lutheran Church,11.85876732
10640,10641,Mobil,11.83047477
3860,3861,Columbus Park,11.81369504
10088,10089,Marshalls,11.79796389
1601,1602,Barnes & Noble Booksellers,11.76585948
16007,16008,Teso Life,11.68253129
10364,10365,Metro Frame Art,11.66241771
15913,15914,Tea and Milk,11.63930605
18210,18211,Wawa,11.59463305
17486,17487,Trinity Grace Church Queens,11.50980687
13689,13690,Riverside Community Church,11.37778019
5030,5031,Eden Farm,11.36983103
18143,18144,Walmart Supercenter,11.27028818
4048,4049,Costco,11.26110154
13272,13273,Quick Chek,11.22168326
4310,4311,Daiso,11.2061169
2041,2042,BJ's Wholesale Club,11.1958255
13922,13923,Rumi Life,11.12645983
10594,10595,Miriam,11.11257788
6221,6222,Gap Factory,11.00538958
3642,3643,City Fresh Market,10.93180549
4781,4782,Downtown Natural Market,10.91522517
269,270,7-Eleven,10.80417494
15021,15022,Spoiled Brats,10.7632123
15864,15865,Target,10.68541091
4392,4393,Dave's Hot Chicken,10.66432719
3210,3211,Central Baptist Church,10.60646744
17665,17666,Union Baptist Church,10.56274337
3774,3775,Club Pilates,10.50256918
14346,14347,Semicolon Cafe,10.50230236
5744,5745,Fitness Factory Gym,10.45640787
15200,15201,St Rita's Roman Catholic Church,10.4409775
18288,18289,Western Beef,10.22074369
1970,1971,Bigoi Venezia,10.19992149
7933,7934,Jackson Hole Burgers,10.15004242
5664,5665,Finback Brewery,9.9754063
14465,14466,Shell,9.95366843
5847,5848,Fogo de Chão Brazilian Steakhouse,9.769504263
3638,3639,City Diner,9.768135082
12810,12811,Planet Fitness,9.739047721
18124,18125,Walgreens,9.734508594
4563,4564,Di Fara Pizza,9.702509224
12144,12145,Paint N Pour,9.637801123
3693,3694,CKO Kickboxing,9.587710079
10284,10285,Meet Fresh,9.418213741
532,533,Afternoon,9.417332186
5856,5857,Food Bazaar Supermarket,9.352419301
16174,16175,The Bronx Brewery,9.347671525
14115,14116,Sammy's Halal Food,9.298216839
18638,18639,Yard House,9.26017521
5013,5014,Ebisu Life Store,9.192246229
11300,11301,New York Language Center,9.16646016
15005,15006,Spirit Halloween,9.101181377
17002,17003,The Study Shack,9.05378769
6927,6928,Halal Paradise,9.02336429
9214,9215,Liberty Bagels 5th Ave,8.936888847
5892,5893,Fordham University,8.863223323
17784,17785,Urban Market,8.856553947
13578,13579,Revolution Driving School,8.830345742
17257,17258,TITLE Boxing Club,8.828553364
4751,4752,Dorrian's Red Hand,8.791814829
2735,2736,Bulbap Grill,8.733703215
5752,5753,Five below,8.733367488
17262,17263,TJ Maxx,8.67653991
6547,6548,Gourmet Deli & Pizza,8.635624989
14414,14415,Shah's Halal Food,8.600810941
13842,13843,Rosetta Bakery,8.533222473
6926,6927,Halal Munchies,8.440171771
7998,7999,Janie’s Life-Changing Baked Goods,8.423554873
9521,9522,Lot-Less ,8.400803997
7375,7376,Holy Cross Roman Catholic Church,8.280086772
18364,18365,Whole Pets Market,8.249885572
15126,15127,St James Episcopal Church,8.193648608
10438,10439,Michaeli Bakery,8.157844648
4925,4926,Earth & Me,8.152460795
4836,4837,DSW Designer Shoe Warehouse,8.117936769
17668,17669,Union Hall,8.102750989
5909,5910,Forever Coffee,8.042348656
10535,10536,Mille-Feuille Bakery,7.997174382
11618,11619,Nuts Factory,7.9922544
10092,10093,Martha's Country Bakery,7.958920583
13032,13033,Prince Tea House,7.927570437
18178,18179,Washington Commons,7.918851659
6857,6858,H Mart,7.877237085
1413,1414,Bagel Buffet,7.859332625
3602,3603,Cinnamon Girl,7.849948436
6920,6921,Halal Kitchen,7.717886917
10763,10764,Morning Glory,7.680503297
6228,6229,Garden of Eden,7.670789391
15032,15033,Spot Dessert Bar,7.656430789
4257,4258,CycleBar,7.560278114
6569,6570,Grabstein's Bagels,7.54094584
15493,15494,Sugar Hill Creamery,7.525831986
8350,8351,Justino's Pizzeria,7.505621763
8328,8329,Junior's Restaurant & Bakery,7.49269291
7238,7239,Hermès,7.437672364
15558,15559,Sunrise Mart,7.376940615
17435,17436,Treadwell Park,7.367474347
12640,12641,PhysioRX,7.316797161
18538,18539,WORD,7.314549284
15805,15806,Takahachi Bakery,7.308139484
8735,8736,Krav Maga Institute NYC,7.21562061
10439,10440,Michaels,7.187449046
5271,5272,Ends Meat,7.096902087
7870,7871,IT'SUGAR,7.044487033
18655,18656,Yemen Cafe & Restaurant,7.01379605
1144,1145,Arturo's,6.951602624
12735,12736,PingPod,6.867660948
4255,4256,CVS pharmacy,6.847135065
9849,9850,Malai,6.840994667
15873,15874,Tartinery,6.824038688
3915,3916,Coney Shack,6.817080539
18098,18099,W XYZ Bar,6.816727363
14872,14873,Song E Napule,6.703466361
2298,2299,Book Culture,6.696679538
9393,9394,Little Morocco,6.67968756
13478,13479,Reformation,6.621551882
7517,7518,Hudson County Community College Library,6.614861361
2686,2687,Brownstone Pancake Factory,6.605835357
7499,7500,Hudson & Charles,6.590837876
3843,3844,Color Me Mine,6.568471931
15422,15423,Street Taco,6.455683615
1430,1431,Bagels & More,6.431724769
10169,10170,Mathnasium,6.395442612
12291,12292,Parkview Market,6.363836321
11604,11605,Nur Thai,6.345743445
4980,4981,Eastern District,6.340155055
8312,8313,Julien Boulangerie,6.326031118
2599,2600,Brooklyn Fare,6.325001922
12815,12816,PlantShed,6.297729619
6960,6961,Han Dynasty,6.234933704
10808,10809,Motorino,6.193992952
11853,11854,Olive & Bette's,6.172726636
18426,18427,Williamsburg Pizza,6.158386008
5587,5588,Fay Da Bakery,6.102978641
8825,8826,La Churreria,6.079917887
449,450,ACME Markets,6.070490099
10307,10308,Melt Shop,6.052646887
1533,1534,Bar Bruno,6.047607308
2424,2425,Break Bar,6.039643982
18304,18305,Westside Pilates,5.965622894
7248,7249,Hex & Company,5.958942581
17897,17898,Variety Coffee Roasters,5.852261693
9729,9730,Macy's,5.835824296
3077,3078,Carnegie Diner & Cafe,5.795134532
10696,10697,Mom's Kitchen & Bar,5.787199881
18746,18747,Z Club NY,5.782601165
1242,1243,Athleta,5.749168154
13825,13826,Rosa's Pizza,5.740281892
5884,5885,For Five Coffee Roasters,5.735990711
1559,1560,Barachou,5.728341734
2045,2046,BK JANI,5.678928063
12432,12433,Pearson Professional Centers,5.674283173
4594,4595,Dim Sum Palace,5.671585289
8168,8169,Joe's Pizza,5.654747358
1422,1423,Bagel Pub,5.600421162
3681,3682,Cityline Church,5.582900878
3309,3310,Charlotte Cafe,5.558801629
5286,5287,Enzo Bruni La Pizza Gourmet,5.543189199
10649,10650,Modern Bread and Bagel,5.528845011
5666,5667,Fine Fare,5.500754939
15702,15703,Swim Urban,5.460804466
6952,6953,Hamilton Park Capital,5.458086092
8716,8717,Koronet Pizza,5.456806115
6911,6912,Halal Food Cart,5.398588733
3839,3840,Colomba Bakery,5.369940351
12368,12369,Patsy's Pizzeria,5.369758981
2635,2636,Brooklyn Public Library,5.367275151
804,805,Ample Hills Creamery,5.351414759
10625,10626,MixyPaws,5.348084992
14614,14615,Singas Famous Pizza,5.344157071
1043,1044,Area 53,5.337847805
11758,11759,Oasis Cafe,5.334780834
5756,5757,Five Iron Golf,5.332370146
15390,15391,Stonefruit Botanical,5.318969456
8900,8901,Läderach chocolatier suisse,5.297641078
18535,18536,Woops!,5.275405737
13071,13072,Prometric Testing Center,5.272826873
15657,15658,Sweaty Betty,5.263500818
446,447,Ace's Pizza,5.251654997
5295,5296,Equinox,5.246069802
3902,3903,Compton's,5.161854099
7440,7441,Hot Bagels,5.159123781
11481,11482,No Chewing Allowed,5.142857141
9603,9604,Lucky 7 Gourmet Deli,5.127666878
17391,17392,Trader Joe's,5.12275809
12114,12115,P.J. Clarke's,5.102384333
1123,1124,Artichoke Basille's Pizza,5.094318122
7007,7008,Happy Pups,5.087993377
9073,9074,Le Petit Parisien,5.047155223
2557,2558,Brooklyn Bagel & Coffee Company,5.047076178
6152,6153,Furry Paws,5.000415937
4004,4005,Corgi Jianbing,4.976146755
12023,12024,Oslo Coffee Roasters,4.963387424
2765,2766,Burlington,4.960048483
11560,11561,Northwell Health-GoHealth Urgent Care,4.930939281
15852,15853,Tap NYC,4.920126861
18302,18303,Westside Market NYC,4.919259175
2278,2279,Bond Vet,4.893874792
12597,12598,Petopia,4.883242723
6783,6784,Gristede's,4.846462531
2943,2944,Caffe Aronne,4.83679455
8651,8652,Kitsby,4.831538853
16696,16697,The Mill,4.818790439
12509,12510,Perk Coffee,4.802935781
13865,13866,Row House Fitness,4.776811683
5797,5798,Fleet Feet,4.768630957
13075,13076,Proper Cloth,4.760637074
8281,8282,Jubilee Marketplace,4.743594974
1565,1566,Barcade,4.729915947
11974,11975,Orangetheory Fitness Bayside,4.728504613
10675,10676,Moleskine,4.693136724
4553,4554,Devocion,4.669211548
2105,2106,Blick Art Materials,4.660816093
14215,14216,Sauce Pizzeria,4.648481573
2359,2360,Bourke Street Bakery,4.639336336
12856,12857,Plug Uglies,4.632400474
12213,12214,Paper Source,4.626607702
14951,14952,Space Market,4.620739891
17963,17964,Veterinary Emergency Group,4.61044024
9458,9459,Lockwood,4.589428764
9888,9889,Mamoun's Falafel,4.587796437
5917,5918,Forma Pasta Factory,4.564860535
4999,5000,Eat Real Halal,4.53538594
4002,4003,CorePower Yoga,4.534185018
12998,12999,Prestige Health & Wellness,4.528765827
903,904,Anita Gelato,4.516869614
10442,10443,Michael's Restaurant,4.513577504
