,zip_codes,walk_scores
0,10019,99
1,10014,100
2,10017,100
3,10022,99
4,10016,99
5,10001,99
6,10011,99
7,10018,98
8,10036,98
9,10023,100
10,10013,99
11,10004,88
12,10002,88
13,10012,100
14,11222,96
15,10003,100
16,10065,88
17,10009,97
18,10010,98
19,10007,99
20,11201,98
21,11237,98
22,10020,88
23,10028,99
24,10075,88
25,10021,98
26,11101,92
27,10024,98
28,10027,97
29,11211,96
30,11385,92
31,11205,96
32,11217,98
33,10038,99
34,10128,99
35,10005,100
36,10031,96
37,11109,96
38,11231,95
39,07086,88
40,11249,88
41,11372,97
42,10158,88
43,10111,88
44,10025,98
45,10029,97
46,10166,88
47,11106,95
48,11420,77
49,11225,94
50,10458,94
51,11215,97
52,11238,97
53,10030,97
54,10454,92
55,11209,93
56,10112,88
57,11354,91
58,11377,93
59,10456,91
60,10044,79
61,11366,85
62,07020,88
63,11102,92
64,11232,93
65,07310,88
66,07650,88
67,10026,98
68,11216,96
69,10464,53
70,07302,88
71,10169,88
72,10119,88
73,07047,88
74,10282,96
75,11375,93
76,10035,91
77,11105,92
78,10801,88
79,07087,88
80,07024,88
81,11373,95
82,10304,65
83,11104,97
84,07010,88
85,11374,94
86,11364,72
87,07105,88
88,11103,97
89,,88
90,07307,88
91,10281,88
92,07070,88
93,07093,88
94,10280,88
95,11226,94
96,07030,88
97,07304,88
98,10462,94
99,10451,95
100,10006,99
101,07029,88
102,11234,81
103,10455,92
104,10151,88
105,10069,92
106,10173,88
107,11206,95
108,07073,88
109,11233,89
110,11221,94
111,07011,88
112,10175,88
113,10105,88
114,10123,88
115,10032,97
116,10165,88
117,11694,67
118,11358,84
119,10168,88
120,10118,99
121,10034,96
122,11230,90
123,10103,88
124,11361,84
125,11220,95
126,10116,88
127,10463,89
128,10039,88
129,07604,88
130,10121,88
131,10120,88
132,07094,88
133,10174,88
134,11207,86
135,G12 8NX,88
136,11378,86
137,11213,93
138,10033,98
139,11369,88
140,11370,59
141,07306,88
142,07072,88
143,07071,88
144,11355,91
145,10301,67
146,11218,93
147,10305,69
148,11435,86
149,07014,88
150,11204,91
151,07102,88
152,11415,93
153,07305,88
154,10452,93
155,11421,89
156,11228,88
157,11432,90
158,07031,88
159,10040,96
160,07601,88
161,07109,88
162,07075,88
163,07632,88
164,11212,88
165,11203,85
166,07631,88
167,07013,88
168,07666,88
169,10467,90
170,07002,88
171,11414,69
172,11368,94
173,11365,79
174,10302,86
175,10466,81
176,07407,88
177,10314,61
178,07032,88
179,11357,73
180,07057,88
181,10472,88
182,11416,92
183,11219,91
184,11379,85
185,10011-4730,88
186,07644,88
187,10170,88
188,07022,88
189,07652,88
190,11367,84
191,10704,88
192,11430,88
193,07504,88
194,07026,88
195,07012,88
196,11223,90
197,07055,88
198,11229,88
199,10805,88
200,10465,65
201,07657,88
202,78752,88
203,07110,88
204,11236,75
205,10470,81
206,07660,88
207,10310,76
208,07643,88
209,07503,88
210,10803,88
211,10461,89
212,11412,73
213,11356,79
214,11208,86
215,07513,88
216,11434,72
217,10457,92
218,10550,88
219,07608,88
220,11210,88
221,11417,87
222,10468,92
223,07607,88
224,11214,90
225,10469,81
226,07663,88
227,10303,60
228,07605,88
229,10178,88
230,12345,88
231,10800,88
232,10154,88
233,07606,88
234,11418,91
235,10471,74
236,31401,88
237,10199,88
238,91910,88
239,10473,73
240,10474,87
241,10081,88
242,10475,65
243,10109,88
244,07395,88
245,11371,88
246,10176,88
247,11423,77
248,10037,93
249,11003,88
250,10110,88
251,10605,88
252,10184,88
253,11243,88
254,10270,88
255,10459,92
256,10080,88
257,07311,88
258,07201,88
259,07114,88
260,11239,76
261,NN7 4QU,88
262,S21 4FP,88
263,07603,88
264,95814,88
265,11419,91
266,07661,88
267,11235,89
268,10453,88
269,27606,88
270,49007,88
271,11360,63
272,10087,88
273,10601,88
274,07624,88
275,07009,88
276,07066,88
277,11202,88
278,07424,88
279,07461,88
280,07208,88
281,87120,88
282,10079,88
283,07621,88
284,07003,88
285,06877,88
286,10536,88
287,07054,88
288,01901,88
289,10504,88
290,10460,88
291,06610,88
292,10156,88
293,08816,88
294,06878,88
295,11716,88
296,10965,88
297,11563,88
298,07403,88
299,08873,88
300,07079,88
301,08701,88
302,08812,88
303,11701,88
304,07874,88
305,08805,88
306,11729,88
307,11710,88
308,33150,88
309,07849,88
310,08869,88
311,98273,88
312,96738,88
313,10705,88
314,11433,78
315,33160,88
316,07104,88
317,10177,88
318,92504,88
319,43977,88
320,07662,88
321,11439,88
322,11436,73
323,11451,88
324,10055,88
325,06880,88
326,90813,88
327,33071,88
328,10522,88
329,32826,88
330,10155,88
331,107-0062,88
332,90020,88
333,11693,73
334,10104,88
335,12529,88
336,11771,88
337,07004,88
338,07103,88
339,11359,88
340,10276,88
341,12498,88
342,11552,88
343,10278,88
344,07670,88
345,10185,88
346,33486,88
347,07042,88
348,NG22 0NH,88
349,BL0 9AD,88
350,12764,88
351,11520,88
352,07016,88
353,12550,88
354,07506,88
355,10172,88
