zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name
10001,"NEW YORK, NY",G,141331,G,4401881,G,16437815,6626,NEW YORK,NY,NEW YORK
10002,"NEW YORK, NY",G,19971,G,173596,G,902676,2667,NEW YORK,NY,NEW YORK
10003,"NEW YORK, NY",G,82374,G,1908102,G,7643447,4093,NEW YORK,NY,NEW YORK
10004,"NEW YORK, NY",G,49746,H,1807351,G,5798290,1488,NEW YORK,NY,NEW YORK
10005,"NEW YORK, NY",G,34751,G,2013376,G,5769310,1300,NEW YORK,NY,NEW YORK
10006,"NEW YORK, NY",G,16856,H,642232,H,2283366,775,NEW YORK,NY,NEW YORK
10007,"NEW YORK, NY",G,40684,G,1595738,G,6181201,1410,NEW YORK,NY,NEW YORK
10008,"NEW YORK, NY",J,592,H,4329,J,20934,6,NEW YORK,NY,NEW YORK
10009,"NEW YORK, NY",G,7990,H,102233,H,459120,1155,NEW YORK,NY,NEW YORK
10010,"NEW YORK, NY",G,61252,G,2730784,G,9346688,2687,NEW YORK,NY,NEW YORK
10011,"NEW YORK, NY",G,65245,G,3023706,H,11794663,3536,NEW YORK,NY,NEW YORK
10012,"NEW YORK, NY",G,32102,G,681201,G,3425936,2551,NEW YORK,NY,NEW YORK
10013,"NEW YORK, NY",G,68109,H,3384016,G,9403349,4574,NEW YORK,NY,NEW YORK
10014,"NEW YORK, NY",G,30807,H,1428693,H,5249300,2138,NEW YORK,NY,NEW YORK
10016,"NEW YORK, NY",G,109431,H,3312840,H,13746113,5097,NEW YORK,NY,NEW YORK
10017,"NEW YORK, NY",G,138890,G,7648027,G,23199036,4754,NEW YORK,NY,NEW YORK
10018,"NEW YORK, NY",G,123799,G,3455366,G,12854197,5641,NEW YORK,NY,NEW YORK
10019,"NEW YORK, NY",G,125460,G,7595111,G,23385010,4377,NEW YORK,NY,NEW YORK
10020,"NEW YORK, NY",G,31965,G,2085986,G,6827725,676,NEW YORK,NY,NEW YORK
10021,"NEW YORK, NY",H,49833,H,1269586,H,5612272,2372,NEW YORK,NY,NEW YORK
10022,"NEW YORK, NY",G,129515,G,9474127,G,28258821,5647,NEW YORK,NY,NEW YORK
10023,"NEW YORK, NY",G,36722,G,790051,G,3278163,2283,NEW YORK,NY,NEW YORK
10024,"NEW YORK, NY",G,14837,G,188638,G,909822,1859,NEW YORK,NY,NEW YORK
10025,"NEW YORK, NY",G,15239,G,162307,G,741778,1960,NEW YORK,NY,NEW YORK
10026,"NEW YORK, NY",G,3547,G,34174,G,164633,583,NEW YORK,NY,NEW YORK
10027,"NEW YORK, NY",H,45171,J,774383,H,3240072,1185,NEW YORK,NY,NEW YORK
10028,"NEW YORK, NY",G,15088,G,196554,G,943270,1712,NEW YORK,NY,NEW YORK
10029,"NEW YORK, NY",H,36777,J,744067,J,3288604,1073,NEW YORK,NY,NEW YORK
10030,"NEW YORK, NY",H,2471,G,25513,G,110006,323,NEW YORK,NY,NEW YORK
10031,"NEW YORK, NY",G,4613,G,41334,G,194119,848,NEW YORK,NY,NEW YORK
10032,"NEW YORK, NY",H,18920,J,395817,J,1628463,812,NEW YORK,NY,NEW YORK
10033,"NEW YORK, NY",G,7413,H,72489,G,304914,974,NEW YORK,NY,NEW YORK
10034,"NEW YORK, NY",G,3854,G,37759,G,174460,681,NEW YORK,NY,NEW YORK
10035,"NEW YORK, NY",G,10348,G,135626,G,578122,647,NEW YORK,NY,NEW YORK
